Ordinal Name                                  Library 
FindResourceExW                       KERNEL32
FindResourceW                         KERNEL32
LoadResource                          KERNEL32
VerifyVersionInfoW                    KERNEL32
LockResource                          KERNEL32
LeaveCriticalSection                  KERNEL32
EnterCriticalSection                  KERNEL32
DeleteCriticalSection                 KERNEL32
GetLastError                          KERNEL32
RaiseException                        KERNEL32
FindNextFileA                         KERNEL32
InitializeCriticalSectionAndSpinCount KERNEL32
AlphaBlend                            MSIMG32 
GradientFill                          MSIMG32 
AccessibleObjectFromPoint             OLEACC  
SysStringLen                          OLEAUT32
SysAllocString                        OLEAUT32
SafeArrayCreateVector                 OLEAUT32
SafeArrayDestroy                      OLEAUT32
VariantChangeType                     OLEAUT32
SysFreeString                         OLEAUT32
VariantClear                          OLEAUT32
VariantInit                           OLEAUT32
GetProcessImageFileNameW              PSAPI   
EnumProcesses                         PSAPI   
SHGetFolderPathW                      SHELL32 
CommandLineToArgvW                    SHELL32 
ExtractIconW                          SHELL32 
Shell_NotifyIconW                     SHELL32 
ShellExecuteExW                       SHELL32 
SHFileOperationW                      SHELL32 
ShellExecuteW                         SHELL32 
PathFindFileNameW                     SHLWAPI 
PathAppendW                           SHLWAPI 
PathFileExistsW                       SHLWAPI 
PathRemoveFileSpecW                   SHLWAPI 
ColorRGBToHLS                         SHLWAPI 
ColorHLSToRGB                         SHLWAPI 
HashData                              SHLWAPI 
PathRemoveExtensionW                  SHLWAPI 
PathFindExtensionW                    SHLWAPI 
IsNetworkAlive                        SensApi 
GetParent                             USER32  
GetWindowRect                         USER32  
SetWindowPos                          USER32  
SetDlgItemTextW                       USER32  
SetForegroundWindow                   USER32  
GetMessageA                           USER32  
ShowWindow                            USER32  
IsWindow                              USER32  
GetMessageW                           USER32  
IsWindowUnicode                       USER32  
PeekMessageW                          USER32  
MsgWaitForMultipleObjectsEx           USER32  
OpenClipboard                         USER32  
CloseClipboard                        USER32  
EmptyClipboard                        USER32  
LoadImageW                            USER32  
FindWindowW                           USER32  
WindowFromPoint                       USER32  
EnumChildWindows                      USER32  
GetClassLongW                         USER32  
SetWindowRgn                          USER32  
GetAncestor                           USER32  
GetComboBoxInfo                       USER32  
GetClassNameW                         USER32  
GetWindowDC                           USER32  
GetDesktopWindow                      USER32  
GetIconInfo                           USER32  
DrawStateW                            USER32  
TranslateMessage                      USER32  
DispatchMessageW                      USER32  
DispatchMessageA                      USER32  
GetWindowInfo                         USER32  
IsZoomed                              USER32  
CopyImage                             USER32  
GetClientRect                         USER32  
IsRectEmpty                           USER32  
